dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
COMPAS,XGBoost,std,20,FOCUS (0.1),0.9,1.3440158267815907,0.4500571907599606,1.8888888888888888,151.1254642009735,7.556273210048675
COMPAS,XGBoost,std,20,FT++,1.0,0.5122258557037532,0.461011773207614,1.1,0.6358590126037598,0.0317929506301879
COMPAS,XGBoost,std,20,FT,1.0,0.7064560582856563,0.4700251360903905,1.15,0.150933027267456,0.0075466513633728
COMPAS,XGBoost,std,20,OAE,1.0,0.5287964254421251,0.4732208919880595,1.25,93.00274300575256,4.6501371502876285
COMPAS,XGBoost,std,20,FOCUS (0.001),0.95,8.450000437858858,0.5407728696567458,4.052631578947368,141.95862579345703,7.097931289672852
COMPAS,XGBoost,std,20,FOCUS (0.01),0.95,3.572306425555756,0.4990463564997272,2.9473684210526314,142.4682240486145,7.1234112024307255
COMPAS,XGBoost,std,20,FOCUS (0.1),0.9,1.3535426697797246,0.4536566246217929,2.0555555555555554,142.19100999832153,7.109550499916077
COMPAS,XGBoost,std,20,FT++,1.0,0.7064560582856563,0.4740816154020673,1.15,0.5705599784851074,0.0285279989242553
COMPAS,XGBoost,std,20,FT,1.0,0.5887596624725424,0.4508815869510184,1.15,0.1761960983276367,0.0088098049163818
COMPAS,XGBoost,std,20,OAE,1.0,0.3927328909290309,0.4519482025240094,1.25,98.43505668640135,4.921752834320069
COMPAS,XGBoost,std,20,FOCUS (0.001),1.0,14.1105732396245,0.6030597649955102,4.1,160.05063605308533,8.002531802654266
COMPAS,XGBoost,std,20,FOCUS (0.01),1.0,8.253437949717044,0.5675868118890974,3.4,161.18996000289917,8.05949800014496
COMPAS,XGBoost,std,20,FOCUS (0.1),0.95,0.9501185958322724,0.4497848976507182,1.5789473684210524,161.53255987167358,8.07662799358368
COMPAS,XGBoost,std,20,FT++,1.0,0.5837214054549003,0.4587427587145313,1.2,0.6848359107971191,0.0342417955398559
COMPAS,XGBoost,std,20,FT,1.0,0.5610112738959612,0.458440822219569,1.05,0.1686301231384277,0.0084315061569213
COMPAS,XGBoost,std,20,OAE,1.0,0.3374077806119611,0.4595875981506882,1.25,102.75235104560852,5.137617552280426
COMPAS,XGBoost,std,20,FOCUS (0.001),0.95,12.953721833856482,0.5994958244257432,3.894736842105263,158.74358081817627,7.937179040908814
COMPAS,XGBoost,std,20,FOCUS (0.01),0.95,8.70207320545849,0.5697010814690596,3.263157894736842,159.30403566360474,7.965201783180237
COMPAS,XGBoost,std,20,FOCUS (0.1),0.95,1.6962834149599075,0.456991734620597,1.7368421052631575,158.42451000213623,7.921225500106812
COMPAS,XGBoost,std,20,FT++,1.0,0.5070403500133491,0.4556497624207806,1.15,0.6619141101837158,0.0330957055091857
Bail,XGBoost,std,20,FT,1.0,0.603695933652891,0.4951315806217787,1.2000000000000002,0.192789077758789,0.0096394538879394
Bail,XGBoost,std,20,OAE,1.0,0.3005470123965849,0.4935515899718133,1.65,1010.3996968269348,50.51998484134674
Bail,XGBoost,std,20,FOCUS (0.001),1.0,6.361725887842477,0.596068169124093,8.6,238.9853367805481,11.949266839027404
Bail,XGBoost,std,20,FOCUS (0.01),1.0,5.09792423453182,0.5724219019335643,7.05,239.27542805671692,11.963771402835846
Bail,XGBoost,std,20,FOCUS (0.1),1.0,2.203855097666383,0.5241934432415365,3.55,240.3835310935974,12.01917655467987
Bail,XGBoost,std,20,FT++,1.0,0.603695933652891,0.4935165869066337,1.2000000000000002,1.2950811386108398,0.064754056930542
Bail,XGBoost,std,20,FT,1.0,0.6982534589026258,0.4974452638979779,1.2,0.2217817306518554,0.0110890865325927
Bail,XGBoost,std,20,OAE,1.0,0.4006861233701285,0.4957907030874559,1.6,1242.7183890342712,62.13591945171356
Bail,XGBoost,std,20,FOCUS (0.001),1.0,6.145920233428479,0.5899520780904581,9.1,249.2114279270172,12.46057139635086
Bail,XGBoost,std,20,FOCUS (0.01),1.0,4.875959618762136,0.5750696351180604,7.45,250.05730199813843,12.502865099906922
Bail,XGBoost,std,20,FOCUS (0.1),1.0,2.1516128621995447,0.5163368347383182,3.3500000000000005,250.1661341190338,12.508306705951693
Bail,XGBoost,std,20,FT++,1.0,0.6982534589026258,0.4992795529774255,1.2,1.2152178287506104,0.0607608914375305
Bail,XGBoost,std,20,FT,1.0,0.8886897782056096,0.4979696983111738,1.4,0.1904768943786621,0.0095238447189331
Bail,XGBoost,std,20,OAE,1.0,0.4422960981646948,0.4869310270079425,1.75,1085.2619857788086,54.26309928894043
