dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1054,BetaRobust,0.7,1.0,0.27988614800759015,1.9670974712251224,0.4570378754202121,2.2618595825426944,170.49607586860657,0.16176098279753945
FICO,XGBoost,split,tlps,1054,BetaRobust,0.75,1.0,0.2846299810246679,2.060807331390505,0.45692654918278464,2.303605313092979,170.49607586860657,0.16176098279753945
FICO,XGBoost,split,tlps,1054,BetaRobust,0.8,1.0,0.2836812144212524,2.130689830863497,0.4568214415836226,2.34819734345351,170.49607586860657,0.16176098279753945
FICO,XGBoost,split,tlps,1054,BetaRobust,0.85,1.0,0.2846299810246679,2.232256553131258,0.456708846005682,2.3994307400379506,170.49607586860657,0.16176098279753945
FICO,XGBoost,split,tlps,1054,BetaRobust,0.9,1.0,0.2827324478178368,2.2786375746064413,0.4566608674118337,2.437381404174573,170.49607586860657,0.16176098279753945
FICO,XGBoost,split,tlps,1054,DiRARTE-W,1.5,0.9990512333965844,0.28178368121442127,2.6148478247211013,0.4545022537775504,2.7217473884140544,76.97637915611267,0.07303261779517331
FICO,XGBoost,split,tlps,1054,DiRARTE-W,2.0,0.9990512333965844,0.33206831119544594,3.491445772105949,0.45480279994267614,3.112060778727445,76.97637915611267,0.07303261779517331
FICO,XGBoost,split,tlps,1054,DiRARTE-W,2.5,0.9971537001897534,0.3776091081593928,4.794424847797654,0.45561203297401576,3.509039010466223,76.97637915611267,0.07303261779517331
FICO,XGBoost,split,tlps,1054,DiRARTE-W,3.0,0.9848197343453511,0.4307400379506641,6.4983156087636695,0.4562647620104945,3.9421965317919083,76.97637915611267,0.07303261779517331
FICO,XGBoost,split,tlps,1054,DiRARTE-W,3.5,0.952561669829222,0.5113851992409867,9.516865173487574,0.45937576482374837,4.411354581673308,76.97637915611267,0.07303261779517331
FICO,XGBoost,split,tlps,1054,DiRARTE-X,0.02,0.9990512333965844,0.2846299810246679,2.5962504032875944,0.45148403551778876,2.6866096866096867,102.26592898368835,0.09702649808699085
FICO,XGBoost,split,tlps,1054,DiRARTE-X,0.04,0.9990512333965844,0.35294117647058826,3.8017246544252488,0.45190951442417787,3.1614434947768286,102.26592898368835,0.09702649808699085
FICO,XGBoost,split,tlps,1054,DiRARTE-X,0.06,0.9933586337760911,0.39943074003795065,5.06362894472492,0.45178692435939455,3.5396370582617007,102.26592898368835,0.09702649808699085
FICO,XGBoost,split,tlps,1054,DiRARTE-X,0.08,0.9800759013282733,0.4648956356736243,6.618135198071387,0.4523396337466301,3.8722168441432716,102.26592898368835,0.09702649808699085
FICO,XGBoost,split,tlps,1054,DiRARTE-X,0.1,0.9535104364326376,0.4781783681214421,8.28328555304164,0.4531632223455879,4.1751243781094525,102.26592898368835,0.09702649808699085
